primaryTitle,startYear,genres,averageRating,numVotes
Freaks and Geeks,1999.0,"Comedy,Drama",8.8,163379
The Wheel of Time,2021.0,"Action,Adventure,Drama",7.2,162589
Luther,2010.0,"Crime,Drama,Mystery",8.4,162518
Naruto,2002.0,"Action,Adventure,Animation",8.4,161640
Taboo,2017.0,"Drama,Mystery,Thriller",8.3,161226
Glee,2009.0,"Comedy,Drama,Music",6.8,160721
Beef,2023.0,"Comedy,Drama",8.0,158915
The Originals,2013.0,"Drama,Fantasy,Horror",8.2,158902
1883,2021.0,"Drama,Western",8.7,158701
What If...?,2021.0,"Action,Adventure,Animation",7.3,158620
Sex and the City,1998.0,"Comedy,Drama,Romance",7.4,158262
When They See Us,2019.0,"Biography,Crime,Drama",8.8,156425
The Marvelous Mrs. Maisel,2017.0,"Comedy,Drama",8.6,156356
Lupin,2021.0,"Action,Crime,Drama",7.5,155686
Malcolm in the Middle,2000.0,"Comedy,Drama,Family",8.2,154819
Chuck,2007.0,"Action,Comedy,Drama",8.2,153119
Fear the Walking Dead,2015.0,"Drama,Horror,Sci-Fi",6.8,152875
White Collar,2009.0,"Comedy,Crime,Drama",8.2,152301
Desperate Housewives,2004.0,"Comedy,Drama,Mystery",7.6,152058
IT,1990.0,"Drama,Horror,Mystery",6.8,151864
The Fresh Prince of Bel-Air,1990.0,Comedy,7.9,151859
Killing Eve,2018.0,"Action,Adventure,Drama",8.1,151571
The Sinner,2017.0,"Crime,Drama,Mystery",7.8,150567
The Night Agent,2023.0,"Action,Drama,Thriller",7.4,149408
Mr. Bean,1990.0,"Comedy,Family",8.6,148935
Smallville,2001.0,"Action,Adventure,Drama",7.5,148801
The Legend of Korra,2012.0,"Action,Adventure,Animation",8.3,148793
The Morning Show,2019.0,Drama,8.1,148206
Star Trek: The Next Generation,1987.0,"Action,Adventure,Drama",8.7,147962
Iron Fist,2017.0,"Action,Adventure,Crime",6.4,147640
Dexter: New Blood,2021.0,"Crime,Drama,Mystery",8.0,147499
Luke Cage,2016.0,"Action,Crime,Drama",7.2,147074
Star Trek: Discovery,2017.0,"Action,Adventure,Drama",7.0,144787
Watchmen,2019.0,"Crime,Drama,Mystery",8.2,144414
Gen V,2023.0,"Action,Adventure,Comedy",7.6,143734
American Dad!,2005.0,"Animation,Comedy",7.4,143322
Banshee,2013.0,"Action,Crime,Drama",8.4,143247
Young Sheldon,2017.0,Comedy,7.7,142719
The Haunting of Bly Manor,2020.0,"Drama,Horror,Mystery",7.4,142569
Law & Order: Special Victims Unit,1999.0,"Crime,Drama,Mystery",8.1,142536
The Pacific,2010.0,"Action,Adventure,Drama",8.3,142187
Alice in Borderland,2020.0,"Action,Drama,Horror",7.8,142139
King the Land,2023.0,"Comedy,Drama,Romance",5.8,141373
The Acolyte,2024.0,"Action,Adventure,Fantasy",4.3,140706
Star Wars: The Clone Wars,2008.0,"Action,Adventure,Animation",8.5,140242
Slow Horses,2022.0,"Drama,Thriller",8.3,140235
